## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
PRODUCT_MI_451_RESEARCH,451 Research,MI_SOLUTIONS,"451 Research offers technology data, research, and advisory services, supporting strategic business decisions across all phases of innovation. Discover more.",,,https://www.spglobal.com/market-intelligence/en/solutions/451-research,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:451 Research offers technology data, research, and advisory services, supporting strategic business decisions across all phases of innovation. Discover more.",,,,,,
PRODUCT_MI_451_RESEARCH_DATACENTER_KNOWLEDGEBASE,451 Research Datacenter KnowledgeBase,MI_SOLUTIONS,"A global database of +12,960 colocation and wholesale datacenter facilities.",,,https://www.spglobal.com/market-intelligence/en/solutions/datacenter-knowledgebase,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:A global database of +12,960 colocation and wholesale datacenter facilities.",,,,,,
PRODUCT_MI_451_RESEARCH_M_AND_A_KNOWLEDGEBASE,451 Research M&A KnowledgeBase,MI_SOLUTIONS,A tech M&A transactions database that includes analysis of deal rationales and unique data on private-company valuations,,,https://www.spglobal.com/market-intelligence/en/solutions/ma-knowledgebase,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:A tech M&A transactions database that includes analysis of deal rationales and unique data on private-company valuations,,,,,,
PRODUCT_MI_ADVANCED_COUNTRY_ANALYSIS_AND_FORECASTING_-_ECONOMIC_FORECASTS_AND_COUNTRY_RISK_ASSESSMENTS,Advanced Country Analysis & Forecasting - Economic Forecasts & Country Risk Assessments,MI_SOLUTIONS,Advanced Country Analysis and Forecast offers comprehensive coverage of 200+ countries with economic forecasts and daily updated country analysis and risk ratings.,,,https://www.spglobal.com/market-intelligence/en/solutions/products/advanced-country-analysis-and-forecast,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Advanced Country Analysis and Forecast offers comprehensive coverage of 200+ countries with economic forecasts and daily updated country analysis and risk ratings.,,,,,,
PRODUCT_MI_ADVANCED_ECONOMIC_MODELING_SOLUTIONS,Advanced Economic Modeling Solutions,MI_SOLUTIONS,"Advanced Economic Modeling Solutions enable S&P Global clients to integrate modeling, forecasting, impact, trend, and scenario analysis into their business planning processes.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/economics-country-risk-advanced-modeling,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Advanced Economic Modeling Solutions enable S&P Global clients to integrate modeling, forecasting, impact, trend, and scenario analysis into their business planning processes.",,,,,,
PRODUCT_MI_AI_FOR_PARTNERS,AI for Partners,MI_SOLUTIONS,S&P Global works with leading technology partners to deliver enterprise-grade AI solutions.,,,https://www.spglobal.com/market-intelligence/en/solutions/artificial-intelligence-hub/ai-for-partners,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:S&P Global works with leading technology partners to deliver enterprise-grade AI solutions.,,,,,,
PRODUCT_MI_AI_FOR_PARTNERS_AND_DEVELOPERS,AI for Partners & Developers,MI_SOLUTIONS,S&P Global works with leading technology partners to deliver enterprise-grade AI solutions.,,,https://www.spglobal.com/market-intelligence/en/solutions/artificial-intelligence/ai-for-partners-and-developers,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:S&P Global works with leading technology partners to deliver enterprise-grade AI solutions.,,,,,,
PRODUCT_MI_AI_SOLUTIONS_DIRECTORY,AI Solutions Directory,MI_SOLUTIONS,S&P Global works with leading technology partners to deliver enterprise-grade AI solutions.,,,https://www.spglobal.com/market-intelligence/en/solutions/artificial-intelligence/ai-solutions-directory,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:S&P Global works with leading technology partners to deliver enterprise-grade AI solutions.,,,,,,
PRODUCT_MI_AI-READY_DATA,AI-Ready Data,MI_SOLUTIONS,"Artificial intelligence needs more than large volumes of data. It requires information that is consistent, explainable, enriched, and ready for direct integration into AI workflows.",,,https://www.spglobal.com/market-intelligence/en/solutions/artificial-intelligence/ai-ready-data,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Artificial intelligence needs more than large volumes of data. It requires information that is consistent, explainable, enriched, and ready for direct integration into AI workflows.",,,,,,
PRODUCT_MI_AIS_ANTENNA_NETWORK_PARTNERSHIPS,AIS Antenna Network Partnerships,MI_SOLUTIONS,Get connected to S&P Global global AIS network that powers our vessel tracking services integrated into our market leading solution.,,,https://www.spglobal.com/market-intelligence/en/solutions/products/ais-antenna-network,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Get connected to S&P Global global AIS network that powers our vessel tracking services integrated into our market leading solution.,,,,,,
PRODUCT_MI_AIS_PLATINUM,AIS Platinum,MI_SOLUTIONS,"Through a unique alliance with exactEarth, S&P Global is pleased to offer an industry-leading solution that delivers faster and more comprehensive AIS vessel-tracking updates.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/ais-platinum,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Through a unique alliance with exactEarth, S&P Global is pleased to offer an industry-leading solution that delivers faster and more comprehensive AIS vessel-tracking updates.",,,,,,
PRODUCT_MI_AIS_TRACKING_-_SHIP_TRACKER_FOR_MARITIME_TRAFFIC,AIS Tracking - Ship Tracker for Maritime Traffic,MI_SOLUTIONS,"The industry's first online software for tracking real-time marine traffic, AISLive delivers updated movements for 130,000+ ships and vessels every 60 seconds.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/ais-live-ship-tracker,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:The industry's first online software for tracking real-time marine traffic, AISLive delivers updated movements for 130,000+ ships and vessels every 60 seconds.",,,,,,
PRODUCT_MI_ALLIANCE_COLLABORATORS,Alliance Collaborators,MI_SOLUTIONS,We provide the information to help you bring innovation to whatever market you're serving through our industry-leading data and coverage.,,,https://www.spglobal.com/market-intelligence/en/solutions/alliance-collaborators,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:We provide the information to help you bring innovation to whatever market you're serving through our industry-leading data and coverage.,,,,,,
